"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.14,0.34,-0.53,0.81,-0.42,0.7,"Elevation"
"V2",0.96,1.26,-1.01,3.97,-0.72,3.36,"Human Population"
"V3",0.72,0.47,-0.16,1.67,-0.02,1.5,"Distance"
"V4",-0.23,1.84,-3.54,4.79,-2.76,3.23,"Park Size"
"V5",0.17,1.74,-3.83,4.01,-3.06,2.79,"Outreach"
"V6",0.61,1.64,-2.66,4.57,-1.75,3.56,"Punishment"
"V7",3.18,0.88,1.34,4.67,1.65,4.51,"Camera Angle"
