"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",-0.05,0.15,-0.34,0.24,-0.29,0.2,"Elevation"
"V2",0.81,0.72,-0.58,2.25,-0.36,2.01,"Human Population"
"V3",0.45,0.15,0.17,0.74,0.22,0.7,"Distance"
"V4",4.17,3.12,-2.14,9.6,-0.94,9.23,"Park Size"
"V5",0.53,2.88,-4.38,7.55,-3.85,6.17,"Outreach"
"V6",6.78,5.21,-0.71,19.71,0.37,16.69,"Punishment"
"V7",0.32,0.26,-0.21,0.83,-0.12,0.75,"Camera Angle"
