"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.35,0.17,0.03,0.69,0.08,0.63,"Elevation"
"V2",1.06,0.78,-0.45,2.61,-0.21,2.36,"Human Population"
"V3",0.04,0.15,-0.25,0.33,-0.21,0.28,"Distance"
"V4",4.05,2.93,-1.92,9.5,-0.6,9.05,"Park Size"
"V5",0.7,2.7,-4.15,7.52,-3.51,6.01,"Outreach"
"V6",5.94,4.5,-0.51,16.71,0.5,14.3,"Punishment"
"V7",1.09,0.28,0.53,1.63,0.62,1.54,"Camera Angle"
