"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.87,0.36,0.18,1.61,0.29,1.49,"Elevation"
"V2",1.26,1.94,-2.54,5.48,-1.79,4.62,"Human Population"
"V3",-0.52,0.3,-1.09,0.07,-1,-0.03,"Distance"
"V4",1.82,2.46,-3.17,7.89,-2.08,6.61,"Park Size"
"V5",-2.45,2.21,-4.91,3.72,-4.81,1.93,"Outreach"
"V6",1.52,2.5,-3.33,7.39,-2.31,5.78,"Punishment"
"V7",-0.76,0.82,-2.19,0.89,-2.01,0.64,"Camera Angle"
