"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.13,0.33,-0.52,0.79,-0.41,0.68,"Elevation"
"V2",0.68,0.95,-0.99,2.96,-0.71,2.38,"Human Population"
"V3",0.69,0.44,-0.14,1.58,-0.01,1.42,"Distance"
"V4",-0.8,1.53,-3.38,2.81,-2.72,1.72,"Park Size"
"V5",2.86,4.65,-7.32,9.51,-5.97,9.14,"Park outreach"
"V6",-2.47,4.88,-9.49,8.18,-9.11,6.82,"Park punishment"
"V7",3.22,0.89,1.37,4.73,1.65,4.56,"Camera Angle"
