"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.88,0.36,0.2,1.6,0.3,1.48,"Elevation"
"V2",0.57,1.81,-3.05,4.45,-2.38,3.65,"Human Population"
"V3",-0.55,0.3,-1.14,0.04,-1.04,-0.06,"Distance"
"V4",1.48,3.05,-4.88,8.37,-3.37,7.19,"Park Size"
"V5",-0.54,5.05,-9.36,8.34,-8.76,7.47,"Park outreach"
"V6",-2.43,5.09,-9.69,8.13,-9.35,6.92,"Park punishment"
"V7",-0.76,0.81,-2.18,0.89,-2.01,0.64,"Camera Angle"
