"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.35,0.17,0.02,0.68,0.08,0.63,"Elevation"
"V2",1,0.78,-0.5,2.54,-0.27,2.29,"Human Population"
"V3",0.03,0.15,-0.26,0.33,-0.21,0.28,"Distance"
"V4",1.39,5.32,-6.44,15.93,-4.7,12.09,"Park Size"
"V5",22.99,17.85,-22.15,48.39,-11.27,46.98,"Park outreach"
"V6",-20.26,18.59,-46.56,28.24,-44.82,16.58,"Park punishment"
"V7",1.09,0.28,0.53,1.63,0.62,1.54,"Camera Angle"
