"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",-0.05,0.15,-0.34,0.25,-0.29,0.2,"Elevation"
"V2",0.85,0.72,-0.54,2.29,-0.31,2.05,"Human Population"
"V3",0.46,0.15,0.17,0.74,0.22,0.7,"Distance"
"V4",10.42,9.48,-3.85,33.11,-1.39,28.72,"Park Size"
"V5",0.27,6.28,-13.01,13.9,-10.18,10.92,"Village outreach"
"V6",15.22,12.05,-0.56,43.97,0.98,39.7,"Village punishment"
"V7",0.32,0.26,-0.21,0.83,-0.12,0.75,"Camera Angle"
