"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.87,0.36,0.19,1.62,0.29,1.49,"Elevation"
"V2",1.17,2.05,-2.61,5.62,-1.92,4.8,"Human Population"
"V3",-0.52,0.3,-1.11,0.07,-1.02,-0.03,"Distance"
"V4",1.56,2.71,-4.16,7.89,-2.51,6.58,"Park Size"
"V5",-5.36,3.23,-9.79,2.23,-9.59,0.28,"Village outreach"
"V6",1.97,2.57,-3.61,7.54,-2.09,6.46,"Village punishment"
"V7",-0.76,0.81,-2.18,0.89,-2,0.63,"Camera Angle"
