"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",0.14,0.34,-0.52,0.82,-0.42,0.7,"Elevation"
"V2",1.04,1.31,-1.02,4.14,-0.7,3.54,"Human Population"
"V3",0.72,0.47,-0.15,1.7,-0.02,1.52,"Distance"
"V4",-0.31,2.23,-4.98,5.27,-3.6,3.64,"Park Size"
"V5",0.12,2.27,-5.49,5.11,-3.89,3.62,"Village outreach"
"V6",0.69,1.98,-3.25,5.59,-2.05,4.27,"Village punishment"
"V7",3.21,0.89,1.35,4.72,1.65,4.55,"Camera Angle"
