"","mean","sd","lower","higher","90lower","90higher","labels"
"V1",-0.05,0.15,-0.34,0.25,-0.29,0.2,"Elevation"
"V2",0.76,0.71,-0.62,2.18,-0.4,1.95,"Human Population"
"V3",0.45,0.15,0.17,0.74,0.21,0.69,"Distance"
"V4",1.61,5.76,-7.09,16.58,-5.35,12.99,"Park Size"
"V5",22.43,19.11,-25.28,48.55,-15.37,47.23,"Park outreach"
"V6",-19.56,19.93,-46.86,31.39,-45.11,20.68,"Park punishment"
"V7",0.32,0.26,-0.2,0.82,-0.11,0.74,"Camera Angle"
